epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.25100088119506836,9.999999747378752e-05,1.4027321338653564,0.2665505111217499,1.3865852355957031
1,0.25256744027137756,9.999999747378752e-05,1.3931201696395874,0.2435540109872818,1.388279676437378
2,0.257615327835083,9.999999747378752e-05,1.3899251222610474,0.2665505111217499,1.386109709739685
3,0.25073978304862976,9.999999747378752e-05,1.3894251585006714,0.2435540109872818,1.3866512775421143
4,0.257615327835083,9.999999747378752e-05,1.3870028257369995,0.2665505111217499,1.3864836692810059
5,0.2643167972564697,9.999999747378752e-05,1.3870720863342285,0.24076655507087708,1.3862297534942627
6,0.261270672082901,4.999999873689376e-05,1.3861643075942993,0.2665505111217499,1.3852345943450928
7,0.26370757818222046,4.999999873689376e-05,1.3860112428665161,0.2665505111217499,1.3855777978897095
8,0.267536997795105,4.999999873689376e-05,1.3858007192611694,0.2665505111217499,1.3854658603668213
9,0.26579633355140686,4.999999873689376e-05,1.3860766887664795,0.2665505111217499,1.385197401046753
10,0.2643167972564697,2.499999936844688e-05,1.385900616645813,0.2665505111217499,1.3854304552078247
11,0.26449087262153625,2.499999936844688e-05,1.3852146863937378,0.2665505111217499,1.3853076696395874
